Rk,Player,Ind,From,To,Tm,Lg,MPG,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
48,Goran Dragić,dragigo01,2015,2020,TOT,NBA,31.9,388,321,12362,9.8,21.0,7.5,14.8,2.3,6.2,4.3,5.6,1.2,4.5,5.8,8.1,1.5,0.3,3.8,3.9,26.2,.465,.508,.364,.519,.778,.557
49,Wesley Matthews,matthwe02,2015,2020,TOT,NBA,31.9,405,403,12914,6.7,16.4,3.0,6.6,3.6,9.8,2.5,3.1,0.6,4.2,4.8,3.6,1.5,0.3,1.8,3.3,19.5,.405,.455,.371,.516,.808,.547
50,Jayson Tatum,tatumja01,2018,2020,BOS,NBA,31.8,218,218,6936,9.6,21.0,6.9,14.2,2.7,6.9,4.5,5.4,1.2,7.9,9.1,3.3,1.8,1.2,2.6,3.2,26.4,.456,.484,.399,.521,.827,.564
51,Evan Fournier,fournev01,2015,2020,ORL,NBA,31.6,404,368,12782,9.0,20.0,5.9,11.7,3.2,8.4,3.8,4.7,0.7,3.9,4.6,4.6,1.5,0.2,2.8,4.0,25.1,.451,.505,.376,.530,.813,.567
52,Rudy Gobert,goberru01,2015,2020,UTA,NBA,31.6,423,376,13369,7.5,11.6,7.5,11.6,0.0,0.0,5.3,8.4,5.6,13.3,18.9,2.4,1.2,3.7,2.8,4.4,20.3,.643,.644,.000,.643,.633,.662
53,Eric Gordon,gordoer01,2015,2020,TOT,NBA,31.6,352,215,11106,8.4,20.4,3.8,8.2,4.6,12.3,3.4,4.1,0.5,3.2,3.7,3.9,1.1,0.6,2.5,3.2,24.7,.410,.469,.371,.521,.815,.554
54,Deandre Ayton,aytonde01,2019,2020,PHO,NBA,31.5,101,95,3179,11.4,20.0,11.4,19.9,0.0,0.1,3.0,4.0,5.2,11.1,16.3,2.7,1.2,1.8,3.0,4.6,25.9,.572,.575,.000,.572,.753,.595
55,Eric Bledsoe,bledser01,2015,2020,TOT,NBA,31.5,386,386,12153,9.5,20.6,7.3,14.1,2.2,6.5,5.8,7.2,1.3,5.8,7.0,8.7,2.4,0.8,4.5,3.5,27.0,.461,.518,.339,.515,.806,.569
56,Nikola Vučević,vucevni01,2015,2020,ORL,NBA,31.3,405,380,12685,12.4,25.0,11.4,22.0,1.0,3.0,2.9,3.9,4.1,12.5,16.6,4.8,1.4,1.5,2.9,3.9,28.8,.497,.520,.332,.517,.758,.539
57,Al Horford,horfoal01,2015,2020,TOT,NBA,31.1,426,423,13240,9.2,18.5,7.6,13.9,1.7,4.6,2.0,2.6,2.6,8.7,11.2,6.4,1.3,2.0,2.3,3.0,22.2,.500,.545,.362,.545,.786,.565
58,Kevin Love,loveke01,2015,2020,CLE,NBA,31.1,349,348,10870,9.1,21.0,5.5,11.3,3.6,9.7,6.0,7.1,2.9,13.3,16.2,3.7,1.1,0.7,3.0,3.2,27.8,.433,.482,.375,.519,.848,.576
59,Kristaps Porziņģis,porzikr01,2016,2020,TOT,NBA,31.1,237,236,7361,10.5,24.2,7.7,16.4,2.8,7.8,5.4,6.7,2.7,9.5,12.2,2.3,1.2,3.3,2.8,5.1,29.1,.433,.469,.357,.490,.798,.536
60,DeAndre Jordan,jordade01,2015,2020,TOT,NBA,31.0,442,392,13693,7.2,10.6,7.2,10.6,0.0,0.0,4.0,8.0,6.0,15.8,21.8,2.3,1.0,2.5,2.5,4.1,18.4,.682,.683,.143,.682,.501,.654
61,Avery Bradley,bradlav01,2015,2020,TOT,NBA,30.9,366,357,11323,8.3,19.1,5.7,12.0,2.6,7.2,1.6,2.0,1.0,4.1,5.2,3.1,1.7,0.3,2.3,3.7,20.9,.436,.478,.364,.504,.782,.521
62,Kentavious Caldwell-Pope,caldwke01,2015,2020,TOT,NBA,30.9,453,350,14001,7.2,17.2,4.3,9.0,2.9,8.2,2.9,3.6,1.1,4.3,5.4,2.9,1.8,0.3,1.8,3.0,20.2,.420,.481,.352,.503,.799,.537
63,Darius Garland,garlada01,2020,2020,CLE,NBA,30.9,59,59,1824,7.5,18.6,4.7,10.7,2.8,7.9,1.7,1.9,0.7,2.2,3.0,6.1,1.1,0.1,4.0,2.5,19.4,.401,.434,.355,.476,.875,.498
64,Danilo Gallinari,gallida01,2015,2020,TOT,NBA,30.8,319,287,9819,8.4,19.4,5.0,10.7,3.4,8.7,7.8,8.8,1.1,7.1,8.2,3.4,1.1,0.5,2.0,2.5,28.0,.433,.467,.390,.520,.892,.602
65,Zach LaVine,lavinza01,2015,2020,TOT,NBA,30.8,353,266,10857,10.3,23.0,7.3,15.1,3.0,7.9,5.0,6.1,0.7,5.1,5.8,5.8,1.5,0.4,4.1,3.6,28.5,.447,.484,.375,.511,.819,.555
66,P.J. Tucker,tuckepj01,2015,2020,TOT,NBA,30.8,469,344,14445,4.2,10.1,2.2,4.7,2.0,5.4,1.4,1.8,2.4,7.2,9.6,2.3,2.1,0.5,1.6,4.2,11.7,.414,.474,.361,.511,.745,.535
67,Josh Richardson,richajo01,2016,2020,TOT,NBA,30.7,307,236,9423,7.4,17.3,4.8,10.1,2.6,7.1,2.8,3.4,1.1,4.1,5.2,4.7,1.8,1.1,2.3,4.0,20.0,.426,.471,.362,.501,.814,.534
68,Thaddeus Young,youngth01,2015,2020,TOT,NBA,30.7,449,393,13765,8.8,17.8,7.8,14.9,1.0,2.9,1.7,2.7,3.3,7.1,10.4,3.3,2.5,0.7,2.5,3.6,20.4,.496,.526,.342,.524,.622,.535
