Player,FG,2P,3P,FT,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Pos,Tm
Giannis Antetokounmpo,11.1,10.3,0.9,7.3,2.6,11,6.6,1.8,2,4.2,4.6,30.5,0.525,0.566,0.285,0.546,0.724,0.594,PF,MIL
Lonzo Ball,6,3.2,2.8,0.8,1.7,7.2,9.6,2.2,0.9,3.8,3.2,15.8,0.393,0.45,0.343,0.485,0.484,0.488,PG,NOP
Mike Conley,8.5,6.2,2.3,4.6,0.7,4.1,9.1,2.3,0.3,3.2,3.2,23.8,0.439,0.468,0.375,0.498,0.818,0.547,PG,UTA
Collin Sexton,10.7,8.5,2.2,4.6,1.2,3.3,4.5,1.1,0.1,3.6,3.4,28.2,0.45,0.469,0.392,0.497,0.843,0.539,SG,CLE
Brandon Ingram,8.8,7.2,1.6,4.8,1.2,6.2,4.7,1.1,0.9,3.4,3.8,23.9,0.46,0.492,0.357,0.502,0.72,0.544,PF,NOP
De'Andre Hunter,6.5,4,2.5,2.5,1,5.6,2.6,1,0.4,2.4,4.2,18,0.41,0.454,0.355,0.489,0.764,0.521,SF,ATL
Kevin Love,9.5,6.8,2.7,7.1,4.4,13.2,3.8,1.1,0.7,3.1,3.3,28.7,0.442,0.48,0.37,0.506,0.828,0.571,PF,CLE
Wesley Matthews,7.2,3.8,3.4,3.3,0.8,4.1,3.4,1.7,0.3,2,3.5,21.1,0.424,0.469,0.381,0.522,0.824,0.561,SG,MIL
Jayson Tatum,9.6,6.9,2.7,4.5,1.2,7.9,3.3,1.8,1.2,2.6,3.2,26.4,0.456,0.484,0.399,0.521,0.827,0.564,PF,BOS
Kyle Lowry,7.6,4.6,3,5.5,1.3,5.6,10,2.2,0.5,3.7,4.4,23.7,0.423,0.471,0.366,0.506,0.809,0.565,PG,TOR
Deandre Ayton,11.4,11.4,0,3,5.2,11.1,2.7,1.2,1.8,3,4.6,25.9,0.572,0.575,0,0.572,0.753,0.595,C,PHO
Khris Middleton,9.3,6.6,2.7,4.2,0.9,6.4,5.2,2,0.3,3,4.1,25.6,0.458,0.492,0.392,0.525,0.874,0.569,SF,MIL
Nicolas Batum,6.7,4.1,2.6,2.9,1.7,6.9,6.2,1.6,1,3,2.9,18.9,0.434,0.503,0.357,0.518,0.841,0.556,SF,CHO
Harrison Barnes,8,6.1,2,3.7,1.6,6.2,2.6,1.1,0.3,1.9,2.7,21.8,0.447,0.477,0.375,0.502,0.796,0.544,PF,SAC
