Player,FG,2P,3P,FT,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Pos,Tm
Josh Hart,5.6,2.8,2.8,1.9,1.3,7.4,2.6,1.7,0.8,1.7,3.9,15.8,0.428,0.542,0.353,0.534,0.713,0.557,SF,NOP
Jonas Valančiūnas,9.8,9.6,0.3,4.9,5.3,12.4,1.8,0.8,2.1,3.1,5.6,24.8,0.562,0.571,0.361,0.57,0.781,0.613,C,MEM
Reggie Jackson,9.6,7.2,2.3,4.2,1.1,4.8,8.8,1.4,0.2,3.8,3.9,25.7,0.428,0.469,0.336,0.48,0.857,0.524,PG,TOT
Al-Farouq Aminu,5.6,4.1,1.6,2.6,2.8,9.5,2.5,1.9,1.1,2.5,3.8,15.5,0.421,0.467,0.335,0.479,0.745,0.518,PF,ORL
Taj Gibson,8.1,8,0.1,3.2,4.7,8,2.1,1.1,2.1,2.4,5.1,19.4,0.515,0.521,0.22,0.517,0.709,0.55,C,NYK
Udonis Haslem,6.5,6.5,0,3,4,10.2,1.8,1,0.6,2,5,16.1,0.489,0.494,0.07,0.49,0.755,0.533,PF,MIA
Kevin Durant,12.5,10,2.5,9.2,1,8.6,5.6,1.5,1.5,4.3,2.6,36.8,0.493,0.532,0.381,0.542,0.883,0.613,SF,GSW
John Wall,9.7,8.4,1.3,6,0.8,5.3,13,2.4,1,5.4,3.2,26.7,0.433,0.457,0.324,0.462,0.781,0.519,PG,WAS
Pau Gasol,10.1,9.9,0.2,6,3.9,10.4,5,0.8,2.5,3.3,3.3,26.4,0.507,0.512,0.368,0.513,0.753,0.565,C,TOT
Klay Thompson,10.9,6.5,4.3,2.8,0.7,4.5,3.4,1.4,0.8,2.5,3.2,28.9,0.459,0.491,0.419,0.551,0.848,0.575,SG,GSW
DeMarcus Cousins,11.8,10.9,0.9,8.5,4.3,12.6,5.1,2.2,1.9,5.5,6,33.1,0.461,0.477,0.332,0.479,0.737,0.539,C,GSW
Tyreke Evans,9.8,8.4,1.4,5.1,1.4,6.2,8,2,0.6,4.2,3.7,26.1,0.44,0.468,0.323,0.471,0.757,0.517,SG,IND
Raymond Felton,7.4,5.7,1.7,3.1,1,4.2,9.2,2.1,0.4,3.6,3.4,19.6,0.412,0.445,0.329,0.459,0.79,0.497,PG,OKC
Jamal Crawford,8.9,6,2.9,4.9,0.6,3.3,6,1.6,0.4,3.3,2.7,25.7,0.41,0.449,0.348,0.477,0.862,0.529,SG,PHO
Andrew Bogut,7.7,7.7,0,2.2,4.5,11.3,4,1.1,2.8,3.1,5.7,17.6,0.535,0.537,0.12,0.535,0.557,0.545,C,GSW
Joakim Noah,6.3,6.3,0,3.9,6,11,5.3,1.5,2.5,3.2,5.2,16.5,0.491,0.493,0,0.491,0.7,0.54,C,MEM
Greg Monroe,9.9,9.9,0,4.9,5.2,10.2,4,2,1.1,3.5,4.2,24.6,0.514,0.515,0.059,0.514,0.704,0.553,C,TOT
J.R. Smith,8.6,4.8,3.8,2.9,1,5,4.1,1.9,0.4,2.6,4.3,23.8,0.419,0.463,0.373,0.511,0.732,0.536,SG,CLE
Nenê Hilário,8.4,8.4,0,5.1,3.4,8.3,3.5,2.1,1.4,3.4,5.9,21.9,0.548,0.551,0.132,0.548,0.66,0.585,C,HOU
Jeremy Lin,7.7,5.8,1.8,5.5,0.8,4.6,8.3,2.1,0.7,4.4,4.3,22.6,0.433,0.473,0.342,0.485,0.809,0.548,PG,TOT
