Rk,Player,From,To,Tm,Lg,MPG,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
463,Alfonzo McKinnie,2018,2020,TOT,NBA,13.1,126,6,1649,10.2,.416,.178,8.0,15.9,12.0,3.7,1.2,1.2,10.6,14.4,109,112,1.0,1.3,2.4,.069,-3.0,-1.1,-4.1,-0.9
464,Jeremy Pargo,2012,2020,TOT,NBA,13.1,86,16,1123,8.2,.282,.213,2.1,7.2,4.6,22.4,1.4,0.1,17.8,22.5,89,110,-1.3,0.5,-0.8,-.033,-3.3,-1.7,-5.0,-0.9
465,Isaiah Hicks,2018,2019,NYK,NBA,13.0,21,0,272,8.0,.113,.288,4.8,14.6,9.7,9.5,0.5,2.2,15.9,17.2,98,113,-0.1,0.1,0.1,.016,-5.9,-0.8,-6.7,-0.3
466,Alan Williams,2016,2019,TOT,NBA,13.0,67,0,872,19.2,.006,.432,14.0,32.6,23.1,7.1,2.0,3.5,11.7,20.9,111,105,1.2,1.3,2.5,.136,-1.1,0.0,-1.1,0.2
467,Bruno Caboclo,2015,2020,TOT,NBA,12.8,96,20,1233,11.2,.512,.164,6.9,15.4,11.1,8.5,1.3,4.2,13.2,16.5,101,109,0.0,1.5,1.5,.057,-2.3,-0.1,-2.4,-0.1
468,John Jenkins,2013,2019,TOT,NBA,12.8,171,8,2183,11.7,.452,.194,1.9,10.9,6.4,9.9,0.7,0.5,11.0,17.8,106,111,1.8,1.2,3.0,.065,-0.6,-1.3,-1.9,0.1
469,Bruno Fernando,2020,2020,ATL,NBA,12.7,56,13,713,11.9,.186,.256,10.0,20.0,15.0,9.9,1.2,2.0,15.9,15.3,107,114,0.4,0.4,0.8,.055,-3.2,-1.0,-4.1,-0.4
470,Jaylen Morris,2018,2019,TOT,NBA,12.7,10,0,127,7.8,.310,.048,1.8,16.1,9.0,12.5,1.5,0.7,14.0,17.0,87,110,-0.2,0.1,-0.1,-.022,-4.3,0.0,-4.3,-0.1
471,Okaro White,2017,2019,TOT,NBA,12.7,44,4,557,7.6,.448,.238,5.7,13.2,9.4,5.6,1.0,1.6,14.1,10.8,105,109,0.2,0.6,0.8,.067,-3.2,0.3,-2.9,-0.1
472,Jaylen Adams,2019,2019,ATL,NBA,12.6,34,1,428,7.6,.673,.082,2.6,12.3,7.4,19.8,1.5,1.0,19.7,13.5,99,115,-0.1,0.2,0.1,.011,-3.8,-0.5,-4.3,-0.2
473,Garrison Mathews,2020,2020,WAS,NBA,12.6,18,0,227,13.1,.821,.607,2.8,9.1,5.8,5.8,1.6,0.4,10.1,14.5,133,118,0.6,0.0,0.6,.129,-0.5,-0.6,-1.1,0.1
474,Abdel Nader,2018,2020,TOT,NBA,12.6,157,7,1972,8.7,.462,.235,2.3,12.8,7.5,5.8,1.3,1.8,13.0,16.2,99,109,-0.5,2.4,1.9,.046,-3.1,0.2,-2.9,-0.4
475,Gary Payton,2017,2020,TOT,NBA,12.6,61,23,768,10.5,.373,.100,5.6,14.4,9.9,15.5,2.8,1.7,14.2,14.9,99,110,-0.1,0.7,0.6,.037,-3.4,0.9,-2.5,-0.1
476,Lonnie Walker,2019,2020,SAS,NBA,12.6,70,4,885,11.0,.268,.201,2.4,13.7,8.1,8.6,1.9,1.6,9.3,18.5,100,113,-0.1,0.6,0.5,.027,-2.6,-0.5,-3.1,-0.3
477,Nicolas Claxton,2020,2020,BRK,NBA,12.5,15,0,187,14.9,.146,.438,10.7,13.4,12.1,12.6,0.3,3.5,13.6,14.8,118,110,0.3,0.2,0.5,.124,-0.7,0.0,-0.7,0.1
478,Gary Clark,2019,2020,TOT,NBA,12.4,86,3,1066,9.6,.889,.063,5.1,15.6,10.2,4.2,1.1,3.2,4.4,10.9,113,111,0.7,1.1,1.8,.082,-1.1,-0.2,-1.3,0.2
479,Bonzie Colson,2019,2019,MIL,NBA,12.3,8,2,98,12.9,.538,.231,8.8,21.5,15.5,4.0,2.4,0.9,6.5,19.6,100,103,0.0,0.2,0.2,.085,-2.6,-0.8,-3.5,0.0
480,Jalen Jones,2018,2019,TOT,NBA,12.3,32,0,395,11.0,.415,.354,6.5,14.0,10.1,4.2,1.8,0.7,9.1,18.6,104,114,0.1,0.2,0.4,.043,-2.8,-2.2,-5.1,-0.3
481,Nickeil Alexander-Walker,2020,2020,NOP,NBA,12.2,41,0,501,7.6,.515,.123,1.7,15.2,8.4,20.3,1.0,1.2,14.3,22.8,91,113,-0.7,0.4,-0.4,-.034,-3.5,-1.4,-4.9,-0.4
482,D.J. Wilson,2018,2020,MIL,NBA,12.2,101,3,1233,9.9,.508,.158,5.0,18.9,12.3,8.1,0.9,1.8,11.5,15.1,103,106,0.2,2.0,2.1,.082,-2.7,0.2,-2.5,-0.1
483,Deyonta Davis,2017,2019,TOT,NBA,12.1,107,6,1299,15.4,.003,.254,9.0,21.7,15.2,6.0,0.8,4.4,10.4,14.3,121,109,2.2,1.3,3.6,.131,-1.7,-0.4,-2.1,0.0
484,Cheick Diallo,2017,2020,TOT,NBA,12.1,177,3,2143,17.0,.009,.289,8.7,28.0,18.4,5.3,1.2,2.8,13.3,16.9,117,108,3.4,2.8,6.2,.139,-1.2,-0.1,-1.4,0.3
485,Jerome Robinson,2019,2020,TOT,NBA,12.1,88,4,1068,6.4,.494,.117,1.2,13.3,7.3,10.4,1.5,1.4,12.1,15.2,93,112,-0.8,1.0,0.1,.006,-4.5,0.0,-4.6,-0.7
486,Rawle Alkins,2019,2019,CHI,NBA,12.0,10,1,120,8.1,.308,.308,9.9,13.7,11.8,15.2,0.4,0.0,15.3,19.0,93,117,-0.1,0.0,-0.1,-.042,-3.8,-3.5,-7.3,-0.2
487,Jordan Bell,2018,2020,TOT,NBA,12.0,154,16,1853,15.3,.041,.261,8.9,18.4,13.9,13.8,1.5,5.1,18.7,14.1,114,106,2.3,2.6,4.9,.126,-1.1,1.6,0.5,1.2
488,Donta Hall,2020,2020,DET,NBA,12.0,4,0,48,7.3,.000,1.500,14.0,21.6,17.7,5.3,1.0,1.7,23.1,7.9,111,112,0.0,0.0,0.1,.067,-5.6,-1.4,-7.1,-0.1
489,Luka Šamanić,2020,2020,SAS,NBA,12.0,1,0,12,-3.4,.500,.000,0.0,18.0,9.0,28.9,0.0,0.0,0.0,14.5,43,118,-0.1,0.0,-0.1,-.252,-7.4,-4.5,-11.9,0.0
